CUSCOD,CUSTYP,CUSNMF,CUSNML,CUSDOB,ADDRS1,ADDRS2,ADDRS3,ADDRS4,CITYNM,TELENO,MOBLNO,TELXNO,FAXNO,MAILID,SPONAM,GENDER,CUSSTS,NATLID,TIMSTAMP,OPRBRA
00050094,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,North Dakota,Teresaburgh,653-876-7242,729.982.5952x694,653-876-7242,798.968.0002,sk.mahbub@gmail.com,,C,INACT,6665290,2021-03-03 14:34:35.624764,011
00050095,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,North Dakota,Franciscostad,283-486-3794,+1-496-823-0913x0756,283-486-3794,+1-916-494-0974x99309,golam.zubayed@example.com,Elizabeth Cabrera,F,INACT,1705693,2013-06-09 12:25:46.189446,007
00050096,STF,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,West Virginia,Franciscostad,001-283-486-3794x917,001-702-783-8578x6527,001-283-486-3794x917,,golam.zubayed@example.com,Jennifer Hampton,F,ACT,9832854,2024-06-24 23:01:14.967510,025
00050097,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,New Mexico,Franciscostad,+1-283-486-3794x8411,(284)641-9866x524,+1-283-486-3794x8411,001-949-773-3484x3443,golam.zubayed@example.com,,C,SUSP,2469514,2019-08-03 19:44:27.821702,008
00050098,STF,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 543,Franciscostad,Texas,Franciscostad,001-283-486-3794x785,933.901.6571x20826,001-283-486-3794x785,001-573-238-4842x1993,,Angela Bradshaw,C,INACT,4064325,2019-03-11 11:34:39.452273,001
00050099,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,New York,Franciscostad,283-486-3794,(640)904-9915,283-486-3794,2198380262,,Nicole Mitchell,F,SUSP,6433042,2011-10-12 15:21:14.516337,021
00050100,REG,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Ohio,Lake Crystalbury,430-639-1171,772.687.4315x27420,430-639-1171,,mohi.uddin@example.com,,M,SUSP,4348109,2025-11-07 21:52:40.106595,037
00050101,COR,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Wisconsin,Lake Crystalbury,+1-430-639-1171x2291,329.466.8516,+1-430-639-1171x2291,,mohi.uddin@example.com,,C,ACT,1205989,2017-06-05 06:23:05.833897,004
00050102,STF,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Tennessee,Lake Crystalbury,+1-430-639-1171x5160,(730)517-4268x414,+1-430-639-1171x5160,253.604.6374x5499,mohi.uddin@gmail.com,,F,ACT,5773955,2025-09-14 18:02:32.059105,042
00050103,STF,MD MOHI UDDIN,,,489 Eric Track,Apt. 880,Lake Crystalbury,Utah,Lake Crystalbury,430-639-1171,001-491-487-8519x10883,430-639-1171,(572)579-5687,mohi.uddin@example.com,,C,ACT,8510186,2010-06-15 10:16:51.195320,026
00050104,COR,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 544,Lake Crystalbury,Oklahoma,Lake Crystalbury,+1-430-639-1171x1927,340.264.0391x065,+1-430-639-1171x1927,971.239.7187x07286,mohi.uddin@gmail.com,,M,INACT,3211825,2012-08-19 13:42:56.423489,002
00050105,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,California,Garciastad,564-217-0805,404.762.2656x7661,564-217-0805,,kazi.masihur@example.com,,C,SUSP,8316866,2024-10-05 16:16:36.091067,030
00050106,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Iowa,Garciastad,001-564-217-0805x285,275.524.3106,001-564-217-0805x285,+1-868-823-0047,kazi.masihur@example.com,,C,ACT,6042045,2008-06-11 07:54:13.817306,005
00050107,REG,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Ohio,Garciastad,001-564-217-0805x336,702.584.3959,001-564-217-0805x336,990-579-0306,kazi.masihur@example.com,,F,ACT,6091174,2010-03-12 02:56:49.703581,050
00050108,REG,KAZI MASIHUR,RAHMAN,,901 Taylor Mountain,Apt. 046,Garciastad,Georgia,Garciastad,+1-564-217-0805x2303,+1-783-864-4089x26870,+1-564-217-0805x2303,,kazi.masihur@example.com,,C,SUSP,8930718,2012-02-09 01:35:55.280695,011
00050109,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Massachusetts,Garciastad,+1-564-217-0805x6374,001-466-924-6287x334,+1-564-217-0805x6374,,kazi.masihur@example.com,,M,SUSP,7612381,2021-10-14 21:11:46.658877,049
00050110,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Florida,Teresaburgh,653-876-7242,(834)235-1751x8304,653-876-7242,,sk.mahbub@example.com,Kristina Faulkner,C,SUSP,2512690,2017-03-20 14:32:45.095806,047
00050111,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Oklahoma,Teresaburgh,+1-653-876-7242x5760,973.554.0331,+1-653-876-7242x5760,,sk.mahbub@example.com,Chelsea Gill,M,INACT,5732087,2020-07-22 15:25:27.748619,031
00050112,REG,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 724,Teresaburgh,North Carolina,Teresaburgh,653-876-7242,271.675.3556x0932,653-876-7242,001-636-738-5467x854,sk.mahbub@gmail.com,,M,ACT,8685977,2019-12-26 03:34:04.053054,006
00050113,STF,SK MAHBUBLLAH,KAISA,,192 Frank Light,Suite 835,Teresaburgh,Washington,Teresaburgh,+1-653-876-7242x6273,+1-277-325-2287x2808,+1-653-876-7242x6273,653.969.3785,sk.mahbub@gmail.com,Lauren Cortez,M,SUSP,8288110,2011-12-23 01:24:04.722356,017
00050114,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Texas,Teresaburgh,+1-653-876-7242x2237,9067231203,+1-653-876-7242x2237,,sk.mahbub@example.com,,M,SUSP,3385018,2024-12-22 03:32:56.910108,018
00050115,STF,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,South Dakota,Franciscostad,283-486-3794,+1-697-270-0886x00848,283-486-3794,,golam.zubayed@example.com,,F,INACT,9650989,2007-04-13 07:31:51.874135,047
00050116,COR,GOLAM MOHAMMED ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Montana,Franciscostad,+1-283-486-3794x5814,256-379-3341,+1-283-486-3794x5814,001-762-611-8233x984,golam.zubayed@example.com,,F,SUSP,1971455,2016-02-12 07:48:37.890734,002
00050117,REG,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 737,Franciscostad,Arizona,Franciscostad,+1-283-486-3794x4384,448-890-2503,+1-283-486-3794x4384,001-921-676-5918x033,golam.zubayed@gmail.com,James Alvarez,C,ACT,4148748,2018-10-22 01:19:21.376347,048
00050118,STF,GOLAM MOHD ZUBAYED A,SHRAF,,433 Jill Springs,Apt. 960,Franciscostad,Maryland,Franciscostad,001-283-486-3794x231,(393)796-8562,001-283-486-3794x231,,golam.zubayed@example.com,,F,ACT,1371101,2024-08-24 23:36:08.331801,028
00050119,COR,GOLAM MOHAMMED ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Nevada,Franciscostad,283-486-3794,(696)419-4311,283-486-3794,(731)859-9965x04773,golam.zubayed@gmail.com,,C,INACT,9684389,2007-02-22 23:30:25.542117,041
00050120,COR,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Idaho,Lake Crystalbury,430-639-1171,(778)888-6101x58199,430-639-1171,+1-426-355-1104x7541,mohi.uddin@example.com,,F,ACT,3371280,2013-09-02 13:28:52.234729,046
00050121,COR,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,California,Lake Crystalbury,430-639-1171,(564)964-7154,430-639-1171,(961)483-9826x22444,mohi.uddin@example.com,,F,SUSP,6141088,2006-04-26 21:12:13.519413,048
00050122,COR,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Illinois,Lake Crystalbury,001-430-639-1171x427,812.440.6596x575,001-430-639-1171x427,,mohi.uddin@example.com,,F,SUSP,2904042,2017-12-12 08:59:37.760602,039
00050123,REG,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Mississippi,Lake Crystalbury,001-430-639-1171x969,593-998-2807,001-430-639-1171x969,(665)847-9356,mohi.uddin@example.com,Larry Dominguez,C,INACT,4366770,2015-08-26 19:23:42.644028,031
00050124,REG,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Ohio,Lake Crystalbury,001-430-639-1171x826,2588911352,001-430-639-1171x826,(872)843-4266x17979,mohi.uddin@gmail.com,Sandra Jones,M,INACT,2228613,2023-01-10 15:49:00.844541,018
00050125,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Michigan,Garciastad,564-217-0805,(810)914-3888x99375,564-217-0805,,kazi.masihur@example.com,,F,ACT,5806467,2025-05-29 02:23:37.077704,009
00050126,REG,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Pennsylvania,Garciastad,+1-564-217-0805x8333,001-782-650-7146x112,+1-564-217-0805x8333,,kazi.masihur@example.com,,F,ACT,8273967,2021-07-08 13:02:21.629352,027
00050127,REG,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 723,Garciastad,Arizona,Garciastad,+1-564-217-0805x4201,001-810-951-2382x825,+1-564-217-0805x4201,387.657.1775,kazi.masihur@gmail.com,,F,INACT,6190216,2012-12-06 18:30:36.555571,027
00050128,COR,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Montana,Garciastad,+1-564-217-0805x8278,+1-522-566-0937x9660,+1-564-217-0805x8278,,,,C,SUSP,9088410,2010-09-16 09:30:28.995947,013
00050129,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 197,Garciastad,Virginia,Garciastad,001-564-217-0805x784,391-682-5537,001-564-217-0805x784,,,,C,SUSP,6045746,2011-08-21 23:47:09.670801,008
00050130,REG,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,South Carolina,Teresaburgh,653-876-7242,001-712-451-3412,653-876-7242,485.696.9691x5579,sk.mahbub@example.com,,F,INACT,6030463,2019-06-27 01:51:41.106019,003
00050131,REG,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Nebraska,Teresaburgh,001-653-876-7242x903,+1-629-466-2782x827,001-653-876-7242x903,,sk.mahbub@example.com,,M,SUSP,8836009,2016-04-15 05:04:13.972816,044
00050132,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,New Hampshire,Teresaburgh,+1-653-876-7242x4877,+1-905-807-2368x876,+1-653-876-7242x4877,,sk.mahbub@example.com,,M,ACT,2522989,2009-10-24 10:55:52.876969,014
00050133,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 318,Teresaburgh,New Hampshire,Teresaburgh,+1-653-876-7242x4191,921.990.3404x3842,+1-653-876-7242x4191,,sk.mahbub@example.com,,M,INACT,9247234,2020-04-10 04:27:30.646168,004
00050134,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 224,Teresaburgh,Mississippi,Teresaburgh,+1-653-876-7242x4681,+1-207-983-6134,+1-653-876-7242x4681,,sk.mahbub@example.com,Ashley Wilson,C,ACT,7299095,2021-07-28 18:48:06.809295,002
00050135,REG,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Colorado,Franciscostad,283-486-3794,513.239.5962x923,283-486-3794,,golam.zubayed@example.com,,F,ACT,1941400,2011-04-30 13:12:36.278792,007
00050136,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Virginia,Franciscostad,001-283-486-3794x867,449-748-1260x4223,001-283-486-3794x867,,golam.zubayed@example.com,Kim Carlson,C,SUSP,2118134,2009-06-09 16:49:03.863106,016
00050137,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Wisconsin,Franciscostad,283-486-3794,+1-767-929-4667x11684,283-486-3794,,golam.zubayed@example.com,,M,ACT,2531691,2022-08-22 15:09:33.571297,001
00050138,STF,GOLAM MOHAMMED ZUBAYED A,SHRAF,,433 Jill Springs,Apt. 960,Franciscostad,Michigan,Franciscostad,001-283-486-3794x423,+1-992-297-5001,001-283-486-3794x423,790-617-5186x36374,golam.zubayed@example.com,,F,SUSP,4742315,2025-01-28 03:41:24.993561,034
00050139,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 536,Franciscostad,Nevada,Franciscostad,001-283-486-3794x148,+1-211-703-7129x3870,001-283-486-3794x148,(632)542-4154x15206,golam.zubayed@example.com,Scott Alexander,F,SUSP,4256043,2006-01-31 16:12:26.845631,012
00050140,COR,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,California,Lake Crystalbury,430-639-1171,390.492.7532x69731,430-639-1171,(427)413-6111x55426,mohi.uddin@example.com,,F,ACT,4195840,2022-05-31 13:20:19.910397,015
00050141,COR,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Maine,Lake Crystalbury,001-430-639-1171x693,+1-703-476-1379x1805,001-430-639-1171x693,523-841-3899x94043,mohi.uddin@example.com,Leah Cruz,F,ACT,6063092,2025-05-03 01:50:48.225395,021
00050142,COR,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Oregon,Lake Crystalbury,+1-430-639-1171x3746,(858)627-1091x04300,+1-430-639-1171x3746,,mohi.uddin@example.com,,M,SUSP,1245303,2013-10-22 12:19:52.857569,038
00050143,REG,MOHAMMAD MOHI UDDIN,,,489 Eric Track,Apt. 880,Lake Crystalbury,North Carolina,Lake Crystalbury,430-639-1171,001-566-461-8892x41418,430-639-1171,,mohi.uddin@gmail.com,,F,SUSP,3581831,2018-08-23 07:42:13.258397,009
00050144,COR,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Texas,Lake Crystalbury,+1-430-639-1171x4485,001-721-402-0275x8842,+1-430-639-1171x4485,(291)646-3031x6179,mohi.uddin@example.com,,F,INACT,3948635,2016-10-18 23:03:24.577340,015
00050145,REG,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Louisiana,Garciastad,564-217-0805,001-710-256-4814x9177,564-217-0805,,kazi.masihur@example.com,,M,INACT,9666049,2021-01-24 16:54:11.237647,046
00050146,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Oregon,Garciastad,+1-564-217-0805x8712,(252)241-9138,+1-564-217-0805x8712,,kazi.masihur@example.com,,C,SUSP,8969153,2016-01-24 06:56:04.095409,008
00050147,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,California,Garciastad,564-217-0805,001-851-380-2380,564-217-0805,(720)686-3536,kazi.masihur@gmail.com,Alexandria Williams,F,INACT,9375160,2013-05-08 12:19:07.098599,016
00050148,STF,KAZI MASIHUR,RAHMAN,,901 Taylor Mountain,Apt. 910,Garciastad,Maine,Garciastad,001-564-217-0805x300,001-945-718-7053x49493,001-564-217-0805x300,,kazi.masihur@example.com,,F,ACT,4825106,2023-08-11 23:36:02.554327,034
00050149,REG,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,New York,Garciastad,564-217-0805,001-838-632-0603x85050,564-217-0805,,kazi.masihur@example.com,,F,SUSP,1605466,2017-11-26 22:07:15.578180,008
00050150,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Pennsylvania,Teresaburgh,653-876-7242,482-561-9906,653-876-7242,9243103865,sk.mahbub@example.com,Joseph Allen,F,SUSP,6053471,2015-11-29 21:50:50.422575,022
00050151,REG,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,New Jersey,Teresaburgh,653-876-7242,261-585-3747x41124,653-876-7242,001-455-974-3132x9121,sk.mahbub@example.com,Samuel Howe,C,INACT,8330155,2013-12-06 04:16:56.926407,016
00050152,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Minnesota,Teresaburgh,653-876-7242,(980)344-2067x8831,653-876-7242,,sk.mahbub@example.com,Erin Davis,F,INACT,7303019,2011-01-13 22:13:59.185368,030
00050153,REG,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 714,Teresaburgh,California,Teresaburgh,+1-653-876-7242x4853,9132721510,+1-653-876-7242x4853,(310)603-2365,sk.mahbub@gmail.com,,F,ACT,5142509,2022-02-24 01:01:35.393693,012
00050154,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Louisiana,Teresaburgh,653-876-7242,972-209-9934x768,653-876-7242,001-566-470-6625,sk.mahbub@example.com,,M,ACT,6273679,2009-06-06 20:46:05.214235,044
00050155,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Missouri,Franciscostad,283-486-3794,520-459-3040x785,283-486-3794,(726)738-3806x5787,golam.zubayed@example.com,,C,ACT,2172101,2007-10-29 12:37:39.565592,012
00050156,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Texas,Franciscostad,+1-283-486-3794x3041,448.503.9652,+1-283-486-3794x3041,,golam.zubayed@example.com,,F,INACT,6461484,2008-01-28 04:46:39.937350,017
00050157,REG,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,West Virginia,Franciscostad,001-283-486-3794x651,001-659-405-9929x378,001-283-486-3794x651,,golam.zubayed@example.com,,F,SUSP,1511949,2017-12-02 23:22:57.521748,040
00050158,STF,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Florida,Franciscostad,001-283-486-3794x509,325-700-2921x85156,001-283-486-3794x509,703-593-0870,,,M,ACT,1951958,2015-11-18 06:39:55.694959,047
00050159,STF,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Missouri,Franciscostad,283-486-3794,542-320-9690x2959,283-486-3794,(526)475-2895,golam.zubayed@example.com,,M,SUSP,6329370,2012-02-09 01:43:28.802281,025
00050160,COR,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Kentucky,Lake Crystalbury,430-639-1171,931.854.1006,430-639-1171,(951)235-5215,mohi.uddin@example.com,,C,SUSP,2434206,2024-10-21 01:18:51.312282,023
00050161,STF,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Ohio,Lake Crystalbury,+1-430-639-1171x1966,(317)393-2710x4054,+1-430-639-1171x1966,,mohi.uddin@example.com,Stacey Snyder,C,ACT,6855028,2013-08-24 03:46:37.840631,004
00050162,STF,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Arkansas,Lake Crystalbury,+1-430-639-1171x4189,653-536-8844,+1-430-639-1171x4189,(821)481-5997x0629,mohi.uddin@example.com,,F,ACT,3097583,2012-11-27 13:52:46.326439,003
00050163,COR,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 877,Lake Crystalbury,Montana,Lake Crystalbury,001-430-639-1171x506,001-687-920-5061,001-430-639-1171x506,,,,C,ACT,9858906,2007-12-28 09:13:31.197746,040
00050164,COR,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Mississippi,Lake Crystalbury,001-430-639-1171x939,(452)370-4774x3490,001-430-639-1171x939,871-446-7741,mohi.uddin@gmail.com,Alexander Jackson,F,ACT,4892977,2011-11-28 08:41:30.915800,029
00050165,REG,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Maryland,Garciastad,564-217-0805,360-989-8992,564-217-0805,(586)993-8068x687,kazi.masihur@example.com,,F,ACT,9177935,2007-10-14 19:30:03.260039,015
00050166,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Massachusetts,Garciastad,564-217-0805,001-811-368-6854x8709,564-217-0805,(433)620-6163,kazi.masihur@example.com,,F,ACT,8988724,2009-07-12 14:01:05.096114,021
00050167,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Kentucky,Garciastad,+1-564-217-0805x2512,(279)897-0246x2996,+1-564-217-0805x2512,(799)891-1914,kazi.masihur@example.com,,C,ACT,4783692,2014-05-12 03:45:30.303188,037
00050168,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 483,Garciastad,Michigan,Garciastad,+1-564-217-0805x4885,001-330-574-5054x447,+1-564-217-0805x4885,,,,C,INACT,3040874,2023-11-11 21:35:15.417995,031
00050169,COR,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 966,Garciastad,North Carolina,Garciastad,001-564-217-0805x544,(414)586-2890,001-564-217-0805x544,001-775-246-9137x3678,,,C,SUSP,8355257,2008-10-04 09:31:51.148471,029
00050170,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Illinois,Teresaburgh,653-876-7242,9308705345,653-876-7242,,sk.mahbub@example.com,,M,INACT,2321617,2023-07-29 18:09:38.239659,037
00050171,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Hawaii,Teresaburgh,653-876-7242,614-806-0293x333,653-876-7242,703-757-9727,sk.mahbub@example.com,,M,INACT,6729018,2018-10-12 06:42:14.936336,002
00050172,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 208,Teresaburgh,Wyoming,Teresaburgh,+1-653-876-7242x2562,001-707-922-9034x94466,+1-653-876-7242x2562,,sk.mahbub@gmail.com,,C,SUSP,5609571,2016-05-03 03:42:30.749188,016
00050173,COR,SK MAHBUBLLAH,KAISA,,192 Frank Light,Suite 727,Teresaburgh,Utah,Teresaburgh,653-876-7242,571-454-5444,653-876-7242,648.696.9108x589,sk.mahbub@gmail.com,,C,INACT,6093717,2011-02-10 12:54:37.820454,029
00050174,REG,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 659,Teresaburgh,Kansas,Teresaburgh,+1-653-876-7242x6125,8968520744,+1-653-876-7242x6125,,sk.mahbub@example.com,,F,ACT,9763249,2016-06-01 11:08:05.292609,008
00050175,REG,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Illinois,Franciscostad,283-486-3794,638-475-8428x24172,283-486-3794,,golam.zubayed@example.com,Andrew Erickson,M,INACT,1537427,2017-07-06 09:26:24.433960,043
00050176,STF,GOLAM MOHAMMED ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Arkansas,Franciscostad,001-283-486-3794x280,+1-299-491-7381x6846,001-283-486-3794x280,346.955.4947,golam.zubayed@example.com,Stephanie Pena,F,INACT,8572830,2010-07-08 06:07:30.757711,046
00050177,STF,GOLAM MOHAMMED ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,South Dakota,Franciscostad,+1-283-486-3794x8616,(450)907-4329,+1-283-486-3794x8616,956.797.2521,golam.zubayed@gmail.com,,C,ACT,6324067,2008-10-26 03:55:27.385957,005
00050178,REG,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Wyoming,Franciscostad,+1-283-486-3794x8472,229-266-6676,+1-283-486-3794x8472,,,,C,ACT,4942099,2021-10-10 13:06:48.108472,029
00050179,REG,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Washington,Franciscostad,001-283-486-3794x300,(305)883-0033x542,001-283-486-3794x300,,golam.zubayed@gmail.com,,F,ACT,1614842,2016-09-29 21:54:36.585720,049
00050180,STF,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Maryland,Lake Crystalbury,430-639-1171,(710)844-7898,430-639-1171,,mohi.uddin@example.com,,F,INACT,2411930,2016-02-20 12:14:30.540876,020
00050181,COR,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Florida,Lake Crystalbury,430-639-1171,475-332-6033x23098,430-639-1171,,mohi.uddin@example.com,,C,SUSP,1872668,2023-10-31 05:03:12.524359,041
00050182,COR,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Missouri,Lake Crystalbury,001-430-639-1171x229,384-672-3046,001-430-639-1171x229,+1-806-948-9090x1001,mohi.uddin@example.com,,F,INACT,1423160,2013-05-27 14:45:36.033637,041
00050183,COR,MD MOHI UDDIN,,,489 Eric Track,Apt. 880,Lake Crystalbury,North Dakota,Lake Crystalbury,+1-430-639-1171x7163,956.742.0873,+1-430-639-1171x7163,001-526-618-9141x173,mohi.uddin@example.com,,F,INACT,7075449,2018-07-12 03:37:23.477701,043
00050184,COR,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 940,Lake Crystalbury,Tennessee,Lake Crystalbury,430-639-1171,674.747.0120,430-639-1171,3116972181,mohi.uddin@gmail.com,,C,INACT,3722820,2010-10-05 18:02:38.377484,001
00050185,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Massachusetts,Garciastad,564-217-0805,(711)400-2255x79415,564-217-0805,,kazi.masihur@example.com,,M,SUSP,9557160,2022-02-07 05:41:14.824627,018
00050186,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,South Carolina,Garciastad,+1-564-217-0805x8486,(759)202-7716x7014,+1-564-217-0805x8486,001-976-421-2021x697,kazi.masihur@example.com,James Bryant,C,INACT,3280577,2022-10-14 10:04:55.554476,029
00050187,COR,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Oklahoma,Garciastad,564-217-0805,+1-700-628-7721x753,564-217-0805,+1-889-493-5889x16375,kazi.masihur@gmail.com,,F,ACT,1651723,2020-02-29 11:13:01.784009,003
